Nest ID,year,site,Fate,FirstFoundCD,LastPresentCD,LastCheckedCD,AgeFound,tmt,elev,FirstFound,LastPresent,LastChecked,AgeDay1,cause
136,2015,LKE,1,120,131,134,1,control,high,81,92,95,-79,deadeggs
137,2015,LKE,1,159,176,180,1,control,high,120,137,141,-118,deadeggs
140,2015,LKE,1,138,149,152,1,control,high,99,110,113,-97,deadeggs
142,2015,LKE,1,131,138,141,1,control,high,92,99,102,-90,deadeggs
143,2015,LKE,1,131,149,152,1,control,high,92,110,113,-90,predation
148,2015,UKE,1,138,146,149,1,control,high,99,107,110,-97,predation
153,2015,UKE,1,140,155,159,1,control,high,101,116,120,-99,unknown failure
154,2015,UKE,1,140,146,149,13,control,high,101,107,110,-87,unknown failure
157,2015,UKE,1,138,152,154,5,control,high,99,113,115,-93,predation
160,2015,UKE,1,162,180,183,1,control,high,123,141,144,-121,deadeggs
161,2015,UKE,1,166,183,187,1,control,high,127,144,148,-125,predation
162,2015,UKE,1,166,190,194,1,control,high,127,151,155,-125,deadeggs
216,2016,PUA,1,89,91,95,1,control,low,50,52,56,-48,unknown failure
221,2016,PUA,1,98,126,130,1,control,low,59,87,91,-57,unknown failure
223,2016,PUA,1,137,158,161,1,control,low,98,119,122,-96,unknown failure
225,2016,PUA,1,130,137,141,1,control,low,91,98,102,-89,predation
226,2016,PUA,1,130,144,148,1,control,low,91,105,109,-89,unknown failure
229,2015,PUA,1,90,91,97,1,control,low,51,52,58,-49,predation
234,2015,PUA,1,127,138,141,19,control,low,88,99,102,-68,unknown failure
235,2015,PUA,1,166,166,169,1,control,low,127,127,130,-125,predation
237,2015,PUA,1,155,169,173,1,control,low,116,130,134,-114,predation
239,2015,PUA,1,180,180,183,1,control,low,141,141,144,-139,predation
240,2015,PUA,1,149,152,153,19,control,low,110,113,114,-90,predation
241,2015,PUA,1,194,208,211,1,control,low,155,169,172,-153,unknown failure
242,2015,PUA,1,183,208,211,1,control,low,144,169,172,-142,unknown failure
243,2015,PUA,1,183,211,216,1,control,low,144,172,177,-142,unknown failure
246,2016,KKI,1,177,200,203,3,control,low,138,161,164,-134,unknown failure
251,2016,KKI,1,78,106,109,2,control,low,39,67,70,-36,unknown failure
252,2016,KKI,1,100,109,116,19,control,low,61,70,77,-41,unknown failure
253,2016,KKI,1,69,75,77,1,control,low,30,36,38,-28,predation
256,2016,KKI,1,112,130,133,1,control,low,73,91,94,-71,predation
257,2016,KKI,1,126,133,137,1,control,low,87,94,98,-85,predation
259,2016,KKI,1,126,130,133,19,control,low,87,91,94,-67,unknown failure
260,2016,KKI,1,126,152,155,1,control,low,87,113,116,-85,unknown failure
261,2016,KKI,1,155,161,165,1,control,low,116,122,126,-114,predation
262,2016,KKI,1,152,158,161,1,control,low,113,119,122,-111,predation
263,2016,KKI,1,161,163,164,1,control,low,122,124,125,-120,predation
264,2016,KKI,1,116,148,149,1,control,low,77,109,110,-75,unknown failure
270,2016,LKE,1,60,70,75,1,control,high,21,31,36,-19,predation
279,2016,LKE,1,116,126,130,2,control,high,77,87,91,-74,predation
280,2016,LKE,1,96,112,116,1,control,high,57,73,77,-55,deadeggs
282,2016,LKE,1,116,123,126,1,control,high,77,84,87,-75,predation
283,2016,LKE,1,106,116,119,1,control,high,67,77,80,-65,predation
285,2016,LKE,1,152,165,168,1,control,high,113,126,129,-111,predation
286,2016,LKE,1,148,165,168,1,control,high,109,126,129,-107,predation
291,2016,UKE,1,137,137,141,1,control,high,98,98,102,-96,predation
299,2016,UKE,1,130,133,137,1,control,high,91,94,98,-89,unknown failure
306,2016,UKE,1,67,91,95,2,control,high,28,52,56,-25,unknown failure
308,2016,UKE,1,162,165,168,1,control,high,123,126,129,-121,predation
310,2016,UKE,1,102,116,119,1,control,high,63,77,80,-61,predation
331,2016,UKE,1,140,144,148,19,control,high,101,105,109,-81,unknown failure
