"nest","FirstFound","LastPresent","LastChecked","Fate","Freq","AgeDay1","treeht","sageht","grassht"
1,151,166,166,0,1,-138,0,64,24
12,168,181,181,0,1,-155,44,41,17.9
13,143,150,153,1,1,-139,51.5,36,17.6
14,156,158,163,1,1,-139,37,80.3,11.7
15,183,190,190,0,1,-162,56.5,22.2,19.3
16,185,192,192,0,1,-167,72.8,22.3,26.7
17,186,199,204,1,1,-179,21,23.3,19.7
18,198,211,211,0,1,-183,64.3,44.7,15.9
19,155,167,167,0,1,-136,0,25,13.1
